_RAJ2000	_DEJ2000	recno	prop	ID	HostETG	Dist	f_Dist	Distl	r_Distl	RAJ2000	DEJ2000	gmag	g-i	g-r	n	n_n	Re	b/a	PA	mu0g	<mueg>	Morph	Simbad
155.587500	+12.997500	682	 	MATLAS-682	NGC3230	40.8	1	 	 	155.5875	+12.9975	21.04	 	0.33	0.78	 	5.69	0.50	-55.78	25.34	26.13	dI	Simbad
155.641400	+13.005100	683	 	MATLAS-683	NGC3230	40.8	1	 	 	155.6414	+13.0051	21.82	 	 	0.40	 	3.58	0.60	-20.48	25.05	25.84	dE	Simbad
155.662000	+12.870500	684	 	MATLAS-684	NGC3230	40.8	1	 	 	155.6620	+12.8705	 	 	 	 	 	 	 	 	 	 	dE	Simbad
155.715000	+12.991000	687	 	MATLAS-687	NGC3230	40.8	1	 	 	155.7150	+12.9910	 	 	 	 	 	 	 	 	 	 	dI	Simbad
155.743200	+12.899100	689	*	MATLAS-689	NGC3230	40.8	1	 	 	155.7432	+12.8991	19.47	 	0.60	1.19	 	3.76	0.93	-42.44	22.81	23.59	dEN	Simbad
155.787100	+12.933900	690	 	MATLAS-690	NGC3230	40.8	1	 	 	155.7871	+12.9339	20.44	 	0.37	0.89	 	4.38	0.59	-4.45	23.76	24.54	dI	Simbad
155.859600	+12.595200	692	*	MATLAS-692	NGC3230	40.8	1	38.11	a	155.8596	+12.5952	17.73	 	0.57	1.30	 	5.94	0.73	-53.44	22.06	22.84	dEN	Simbad
155.871200	+12.722900	694	 	MATLAS-694	NGC3230	40.8	1	 	 	155.8712	+12.7229	21.05	 	0.54	0.93	 	5.41	0.81	-50.14	25.18	25.96	dE	Simbad
155.889200	+12.897100	695	 	MATLAS-695	NGC3230	40.8	1	 	 	155.8892	+12.8971	21.15	 	0.38	1.04	 	3.73	0.76	-30.69	24.47	25.25	dE	Simbad
155.914000	+12.623800	696	 	MATLAS-696	NGC3230	40.8	1	38.80	a	155.9140	+12.6238	 	 	 	 	 	 	 	 	 	 	dE	Simbad
155.945000	+12.375800	697	 	MATLAS-697	NGC3230	40.8	1	 	 	155.9450	+12.3758	 	 	 	 	 	 	 	 	 	 	dE	Simbad
155.959200	+13.065900	699	 	MATLAS-699	NGC3230	40.8	1	 	 	155.9592	+13.0659	20.87	 	0.47	0.66	 	3.50	0.90	0.59	24.05	24.83	dE	Simbad
155.968900	+12.890900	700	 	MATLAS-700	NGC3230	40.8	1	 	 	155.9689	+12.8909	20.75	 	0.61	1.26	 	5.69	0.77	35.05	24.99	25.77	dE	Simbad
156.024800	+12.816900	701	 	MATLAS-701	NGC3230	40.8	1	 	 	156.0248	+12.8169	22.24	 	0.53	0.80	 	2.61	0.94	27.66	24.78	25.56	dE	Simbad
156.083300	+12.603600	702	 	MATLAS-702	NGC3230	40.8	1	62.39	b	156.0833	+12.6036	20.34	 	0.55	1.11	 	3.79	0.77	55.64	23.69	24.47	dE	Simbad
156.125100	+12.326300	703	 	MATLAS-703	NGC3230	40.8	1	 	 	156.1251	+12.3263	21.82	 	0.48	0.70	 	3.82	0.57	34.45	25.19	25.97	dE	Simbad
156.198000	+12.787800	707	 	MATLAS-707	NGC3230	40.8	1	 	 	156.1980	+12.7878	 	 	 	 	 	 	 	 	 	 	dI	Simbad
156.202500	+12.634200	708	 	MATLAS-708	NGC3230	40.8	1	 	 	156.2025	+12.6342	19.78	 	0.47	0.80	 	4.23	0.46	-84.17	23.38	24.16	dE	Simbad
